ShipmentID,Country,Port,Product,Quantity(kg),Value(USD),TransportMode,ETA,ClearanceTime(days),Status
S1000,Thailand,Cat Lai,Machinery,1082.0,185418.0,Air,2025-05-03,7,Hold
S1001,USA,Danang,Spices,512.0,220834.0,Air,2025-11-05,5,Delayed
S1002,Germany,Ho Chi Minh,Textiles,1039.0,20216.0,Sea,2025-07-03,2,Hold
S1003,Thailand,Danang,Spices,2766.0,8009.0,Road,2025-07-06,4,Delivered
S1004,South Korea,Danang,Machinery,3477.0,165399.0,Air,2025-07-17,5,Delayed
S1005,Vietnam,Cat Lai,Pharmaceuticals,574.0,150281.0,Air,2025-03-19,5,Hold
S1006,Germany,Danang,Toys,650.0,184515.0,Road,2025-12-14,3,In Transit
S1007,Germany,Cat Lai,Automotive Parts,3897.0,20029.0,Road,2025-07-05,7,Delivered
S1008,Thailand,Haiphong,Toys,3262.0,215515.0,Sea,2025-12-10,1,Delivered
S1009,Japan,Haiphong,Toys,794.0,193069.0,Air,2025-09-10,4,In Transit
S1010,South Korea,Cat Lai,Pharmaceuticals,3450.0,,Air,2025-01-13,1,In Transit
S1011,Thailand,Haiphong,Spices,1433.0,247471.0,Sea,2025-10-26,6,Hold
S1012,South Korea,Ho Chi Minh,Automotive Parts,699.0,38783.0,Road,2025-03-17,6,Delivered
S1013,South Korea,Danang,Electronics,663.0,39152.0,Sea,2025-02-20,4,Hold
S1014,Vietnam,Ho Chi Minh,Furniture,3395.0,63741.0,Road,2025-10-02,7,In Transit
S1015,Germany,Danang,Pharmaceuticals,312.0,34092.0,Sea,2025-05-29,2,Delivered
S1016,USA,Haiphong,Machinery,1235.0,153725.0,Road,2025-08-07,6,In Transit
S1017,Vietnam,Ho Chi Minh,Electronics,3397.0,235636.0,Sea,2025-05-02,3,Hold
S1018,Vietnam,Haiphong,Furniture,3836.0,176541.0,Road,2025-07-30,2,Hold
S1019,South Korea,Danang,Machinery,2578.0,259136.0,Road,2025-10-07,5,Hold
S1020,India,Cat Lai,Toys,2124.0,166050.0,Road,2025-01-26,6,Delivered
S1021,Germany,Cat Lai,Textiles,3554.0,92592.0,Road,2025-06-22,3,In Transit
S1022,Japan,Ho Chi Minh,Machinery,339.0,48169.0,Road,2025-06-05,5,In Transit
S1023,Vietnam,Haiphong,Automotive Parts,1624.0,59745.0,Air,2025-08-26,2,Hold
S1024,USA,Haiphong,Automotive Parts,3149.0,,Road,2025-03-23,4,Hold
S1025,India,Ho Chi Minh,Textiles,3368.0,118985.0,Air,2025-12-22,5,Hold
S1026,India,Cat Lai,Electronics,716.0,272687.0,Road,2025-09-30,1,Hold
S1027,Japan,Danang,Furniture,,192464.0,Air,2025-03-09,4,Delayed
S1028,Vietnam,Ho Chi Minh,Machinery,2147.0,26067.0,Air,2025-02-13,4,Delayed
S1029,USA,Danang,Automotive Parts,3093.0,56033.0,Sea,2025-03-02,2,Delayed
S1030,Germany,Cat Lai,Electronics,3340.0,50256.0,Road,2025-05-03,2,Hold
S1031,China,Haiphong,Textiles,2365.0,226705.0,Sea,2025-12-15,3,Hold
S1032,USA,Cat Lai,Spices,1087.0,244455.0,Sea,2025-07-15,3,In Transit
S1033,Japan,Ho Chi Minh,Pharmaceuticals,3330.0,205417.0,Road,2025-11-26,1,Delivered
S1034,India,Haiphong,Spices,3304.0,91803.0,Sea,2025-11-19,4,In Transit
S1035,Germany,Ho Chi Minh,Spices,1541.0,208814.0,Road,2025-04-21,7,Delayed
S1036,USA,Ho Chi Minh,Automotive Parts,249.0,123843.0,Sea,2025-09-15,1,In Transit
S1037,China,Cat Lai,Toys,37600.0,33992.0,Road,2025-03-30,1,Hold
S1038,China,Ho Chi Minh,Toys,218.0,217603.0,Road,2025-07-17,7,Delayed
S1039,South Korea,Cat Lai,Textiles,925.0,53803.0,Road,2025-10-09,7,Delayed
S1040,South Korea,Haiphong,Machinery,,199549.0,Air,2025-07-19,7,Delivered
S1041,Thailand,Cat Lai,Toys,1673.0,149282.0,Sea,2025-04-09,2,Delivered
S1042,Japan,Haiphong,Spices,2806.0,,Air,2025-01-27,1,Delayed
S1043,Vietnam,Cat Lai,Toys,3950.0,249929.0,Sea,2025-03-30,1,Delayed
S1044,USA,Danang,Spices,,12452.0,Sea,2025-05-26,5,In Transit
S1045,USA,Danang,Furniture,2536.0,19859.0,Sea,2025-07-01,7,Delayed
S1046,Vietnam,Ho Chi Minh,Automotive Parts,1364.0,37083.0,Air,2025-09-14,7,Hold
S1047,Thailand,Cat Lai,Automotive Parts,1307.0,116462.0,Sea,2025-07-08,3,In Transit
S1048,India,Cat Lai,Machinery,3965.0,152735.0,Air,2025-08-28,3,Hold
S1049,India,Haiphong,Toys,2638.0,254737.0,Road,2025-12-25,4,Hold
S1050,Thailand,Ho Chi Minh,Toys,3862.0,286197.0,Sea,2025-07-15,3,Hold
S1051,India,Cat Lai,Pharmaceuticals,414.0,147157.0,Sea,2025-10-24,6,Delayed
S1052,South Korea,Ho Chi Minh,Electronics,1749.0,195167.0,Road,2025-06-14,4,Delivered
S1053,USA,Danang,Furniture,,74517.0,Road,2025-11-03,7,Delivered
S1054,Thailand,Cat Lai,Automotive Parts,3674.0,157225.0,Sea,2025-09-28,5,Hold
S1055,USA,Cat Lai,Furniture,327.0,141319.0,Road,2025-01-08,3,Delayed
S1056,Vietnam,Ho Chi Minh,Automotive Parts,,231453.0,Air,2025-02-07,5,In Transit
S1057,China,Cat Lai,Furniture,3748.0,,Air,2025-04-24,3,Hold
S1058,South Korea,Ho Chi Minh,Textiles,959.0,84267.0,Sea,2025-12-05,3,In Transit
S1059,Germany,Cat Lai,Spices,2651.0,143261.0,Air,2025-02-25,5,In Transit
S1060,South Korea,Haiphong,Automotive Parts,3300.0,136004.0,Air,2025-12-25,1,Delayed
S1061,Thailand,Ho Chi Minh,Furniture,2015.0,58687.0,Sea,2025-05-18,1,Delayed
S1062,Germany,Cat Lai,Toys,2585.0,112615.0,Road,2025-04-12,1,Delivered
S1063,China,Danang,Electronics,3078.0,32564.0,Sea,2025-11-30,6,Delivered
S1064,Thailand,Cat Lai,Textiles,2961.0,295979.0,Air,2025-06-26,1,Delayed
S1065,Japan,Danang,Textiles,560.0,12697.0,Sea,2025-06-18,3,Hold
S1066,USA,Danang,Electronics,768.0,85165.0,Sea,2025-12-05,7,Delivered
S1067,China,Haiphong,Furniture,1615.0,209994.0,Air,2025-10-13,2,In Transit
S1068,USA,Ho Chi Minh,Toys,2465.0,62823.0,Air,2025-09-18,5,Hold
S1069,India,Cat Lai,Machinery,1797.0,14615.0,Sea,2025-08-11,7,In Transit
S1070,Japan,Haiphong,Electronics,1892.0,81436.0,Air,2025-07-18,2,Delayed
S1071,Japan,Cat Lai,Furniture,401.0,196591.0,Air,2025-07-30,7,In Transit
S1072,China,Danang,Electronics,2264.0,39782.0,Air,2025-10-14,6,Hold
S1073,Japan,Ho Chi Minh,Electronics,2569.0,83533.0,Air,2025-06-29,2,Delayed
S1074,Germany,Cat Lai,Automotive Parts,717.0,245011.0,Air,2025-09-07,4,Hold
S1075,Japan,Cat Lai,Furniture,3841.0,194327.0,Air,2025-08-19,1,In Transit
S1076,USA,Danang,Machinery,1548.0,77684.0,Road,2025-01-23,6,Hold
S1077,USA,Cat Lai,Spices,1635.0,262165.0,Sea,2025-02-17,7,Delayed
S1078,Thailand,Cat Lai,Automotive Parts,1541.0,220356.0,Air,2025-04-19,3,In Transit
S1079,USA,Danang,Electronics,880.0,221621.0,Sea,2025-10-23,1,In Transit
S1080,Thailand,Haiphong,Spices,2188.0,240295.0,Road,2025-01-06,1,Delivered
S1081,USA,Danang,Pharmaceuticals,3353.0,256435.0,Air,2025-02-07,2,Delivered
S1082,Germany,Haiphong,Spices,3745.0,262424.0,Sea,2025-06-18,4,Hold
S1083,Vietnam,Ho Chi Minh,Electronics,1691.0,273782.0,Air,2025-12-22,1,Delivered
S1084,Thailand,Haiphong,Electronics,624.0,38377.0,Air,2025-10-10,7,Delivered
S1085,South Korea,Haiphong,Toys,2168.0,111244.0,Air,2025-07-22,7,Delivered
S1086,India,Ho Chi Minh,Furniture,1912.0,179188.0,Air,2025-11-21,5,Delivered
S1087,China,Haiphong,Furniture,3475.0,218363.0,Air,2025-11-09,5,Delayed
S1088,USA,Danang,Automotive Parts,3854.0,28382.0,Air,2025-09-30,1,Delayed
S1089,Japan,Haiphong,Machinery,3266.0,251375.0,Air,2025-09-01,2,Delivered
S1090,Vietnam,Ho Chi Minh,Automotive Parts,2634.0,192135.0,Road,2025-11-23,2,Hold
S1091,USA,Danang,Textiles,977.0,158466.0,Road,2025-02-16,3,Delayed
S1092,Japan,Ho Chi Minh,Electronics,2345.0,239318.0,Air,2025-09-06,6,Delivered
S1093,India,Ho Chi Minh,Spices,3616.0,,Air,2025-03-20,6,Delayed
S1094,India,Cat Lai,Pharmaceuticals,2026.0,128664.0,Road,2025-04-20,6,In Transit
S1095,India,Cat Lai,Electronics,407.0,157027.0,Road,2025-01-13,4,Delayed
S1096,Japan,Ho Chi Minh,Electronics,1737.0,108533.0,Road,2025-12-31,2,Delayed
S1097,USA,Ho Chi Minh,Automotive Parts,1859.0,252997.0,Air,2025-03-31,3,Hold
S1098,India,Ho Chi Minh,Pharmaceuticals,,74590.0,Sea,2025-12-08,5,Delayed
S1099,Germany,Cat Lai,Pharmaceuticals,2413.0,249936.0,Sea,2025-12-14,7,Hold
